wavenumber_cm-1,transmittance_percent,absorbance
400.0000,81.0720,0.091129
401.9289,80.8590,0.092272
403.8579,80.1112,0.096307
405.7868,79.2615,0.100938
407.7157,78.3435,0.105997
409.6447,77.8653,0.108656
411.5736,76.9573,0.113750
413.5025,76.1271,0.118460
415.4315,75.7303,0.120730
417.3604,74.8147,0.126013
419.2893,74.2664,0.129208
421.2183,73.8355,0.131735
423.1472,73.0397,0.136441
425.0761,72.3935,0.140300
427.0051,71.8918,0.143321
428.9340,71.4666,0.145897
430.8629,71.2282,0.147348
432.7919,70.9476,0.149062
434.7208,70.8570,0.149617
436.6497,70.4985,0.151820
438.5787,70.2360,0.153440
440.5076,69.9732,0.155068
442.4365,69.8652,0.155739
444.3655,69.7194,0.156647
446.2944,69.6182,0.157277
448.2233,69.2284,0.159715
450.1523,69.2749,0.159424
452.0812,68.8211,0.162279
454.0102,68.3980,0.164956
455.9391,68.2924,0.165628
457.8680,68.1812,0.166335
459.7970,67.3923,0.171390
461.7259,67.5375,0.170455
463.6548,67.1813,0.172752
465.5838,67.3680,0.171546
467.5127,67.2353,0.172402
469.4416,67.2071,0.172585
471.3706,67.6747,0.169574
473.2995,68.0173,0.167381
475.2284,68.2829,0.165688
477.1574,68.9527,0.161449
479.0863,69.8534,0.155812
481.0152,70.3672,0.152630
482.9442,71.1715,0.147694
484.8731,71.8634,0.143492
486.8020,72.5734,0.139223
488.7310,73.3420,0.134647
490.6599,74.0185,0.130660
492.5888,74.4974,0.127859
494.5178,74.6907,0.126733
496.4467,74.8913,0.125569
498.3756,75.1852,0.123868
500.3046,75.1556,0.124039
502.2335,75.0458,0.124674
504.1624,74.5279,0.127681
506.0914,74.3094,0.128956
508.0203,74.0281,0.130604
509.9492,73.4209,0.134181
511.8782,73.1223,0.135950
513.8071,72.6281,0.138895
515.7360,71.9314,0.143082
517.6650,71.6362,0.144867
519.5939,71.7103,0.144418
521.5228,71.3186,0.146797
523.4518,71.3864,0.146385
525.3807,71.6753,0.144630
527.3096,71.5487,0.145398
529.2386,71.9276,0.143105
531.1675,72.3042,0.140836
533.0964,73.3613,0.134533
535.0254,73.7178,0.132427
536.9543,74.4162,0.128333
538.8832,75.3358,0.122999
540.8122,75.8347,0.120132
542.7411,76.8026,0.114624
544.6700,77.4800,0.110810
546.5990,78.4214,0.105566
548.5279,79.0642,0.102020
550.4569,80.1477,0.096109
552.3858,80.8276,0.092440
