wavenumber_cm-1,transmittance_percent,absorbance
400.0000,80.1499,0.096097
401.9289,79.3651,0.100371
403.8579,78.1919,0.106838
405.7868,77.5266,0.110549
407.7157,76.3715,0.117069
409.6447,75.5173,0.121954
411.5736,74.2090,0.129543
413.5025,73.1826,0.135592
415.4315,72.0033,0.142648
417.3604,71.2521,0.147202
419.2893,70.3155,0.152949
421.2183,69.2426,0.159627
423.1472,68.3179,0.165466
425.0761,67.6273,0.169878
427.0051,66.8951,0.174605
428.9340,66.6856,0.175968
430.8629,66.4090,0.177773
432.7919,66.0616,0.180051
434.7208,65.5440,0.183467
436.6497,65.1870,0.185839
438.5787,65.2510,0.185413
440.5076,65.2405,0.185483
442.4365,64.9842,0.187192
444.3655,64.6586,0.189374
446.2944,64.6086,0.189710
448.2233,64.5194,0.190310
450.1523,63.9937,0.193862
452.0812,63.8516,0.194828
454.0102,63.6682,0.196078
455.9391,63.1629,0.199538
457.8680,62.7927,0.202091
459.7970,62.4657,0.204358
461.7259,61.9118,0.208226
463.6548,61.3945,0.211870
465.5838,61.3278,0.212343
467.5127,61.4760,0.211295
469.4416,61.2609,0.212817
471.3706,61.4023,0.211815
473.2995,61.7257,0.209534
475.2284,62.4457,0.204497
477.1574,62.7374,0.202473
479.0863,63.4270,0.197726
481.0152,64.1001,0.193141
482.9442,64.9263,0.187579
484.8731,65.7555,0.182068
486.8020,66.8612,0.174826
488.7310,67.4097,0.171278
490.6599,67.9398,0.167876
492.5888,68.8863,0.161867
494.5178,69.1864,0.159979
496.4467,69.6485,0.157088
498.3756,69.8581,0.155783
500.3046,69.8556,0.155798
502.2335,69.6171,0.157284
504.1624,69.8221,0.156007
506.0914,69.2996,0.159269
508.0203,69.0019,0.161139
509.9492,68.4534,0.164605
511.8782,67.8844,0.168230
513.8071,67.5620,0.170297
515.7360,66.6489,0.176207
517.6650,66.2183,0.179022
519.5939,66.0813,0.179921
521.5228,66.2755,0.178647
523.4518,65.7228,0.182284
525.3807,66.0331,0.180238
527.3096,66.4315,0.177626
529.2386,66.5105,0.177109
531.1675,67.0573,0.173554
533.0964,67.8008,0.168765
535.0254,68.6182,0.163561
536.9543,69.1601,0.160145
538.8832,69.9642,0.155124
540.8122,71.0943,0.148165
542.7411,71.9803,0.142786
544.6700,72.6408,0.138819
546.5990,73.7109,0.132468
548.5279,74.5897,0.127321
550.4569,75.7677,0.120516
552.3858,76.5789,0.115891
554.3147,77.5445,0.110449
556.2437,78.5800,0.104688
558.1726,79.5596,0.099307
560.1015,80.0120,0.096845
562.0305,81.0061,0.091482
563.9594,81.7588,0.087465
565.8883,81.9646,0.086374
567.8173,83.0155,0.080841
569.7462,83.3812,0.078932
571.6751,83.5683,0.077958
573.6041,84.6478,0.072385
575.5330,84.9365,0.070906
577.4619,85.1384,0.069874
579.3909,85.3404,0.068846
581.3198,85.5466,0.067797
583.2487,85.4167,0.068457
585.1777,85.3543,0.068774
587.1066,85.8240,0.066391
589.0355,85.3707,0.068691
590.9645,85.3187,0.068956
592.8934,85.0977,0.070082
594.8223,84.9208,0.070986
596.7513,84.8448,0.071375
598.6802,84.9331,0.070923
600.6091,83.9856,0.075795
602.5381,83.5781,0.077907
604.4670,83.3917,0.078877
606.3959,82.6557,0.082727
608.3249,82.5545,0.083259
610.2538,82.4507,0.083805
612.1827,82.3832,0.084162
614.1117,82.3517,0.084327
616.0406,82.5131,0.083477
617.9695,82.8630,0.081639
619.8985,83.3874,0.078900
621.8274,84.2635,0.074361
623.7563,84.8295,0.071453
625.6853,85.2364,0.069375
627.6142,85.8918,0.066048
629.5431,86.2008,0.064489
631.4721,86.5591,0.062687
633.4010,86.8247,0.061357
635.3299,87.3787,0.058594
637.2589,87.8073,0.056469
639.1878,88.2031,0.054516
641.1168,88.0345,0.055347
643.0457,88.5948,0.052592
644.9746,88.6944,0.052104
646.9036,89.0516,0.050358
648.8325,88.8109,0.051534
650.7614,89.0135,0.050544
652.6904,88.8469,0.051358
654.6193,89.0731,0.050254
656.5482,89.6000,0.047692
658.4772,89.1440,0.049908
660.4061,89.0520,0.050356
662.3350,89.0687,0.050275
664.2640,89.1989,0.049640
666.1929,88.9093,0.051053
668.1218,89.4273,0.048530
670.0508,89.3399,0.048954
671.9797,89.2506,0.049389
673.9086,89.1140,0.050054
675.8376,89.1061,0.050092
677.7665,89.1714,0.049775
679.6954,88.8574,0.051306
681.6244,88.2717,0.054178
683.5533,88.2173,0.054446
685.4822,87.8221,0.056396
687.4112,87.2280,0.059344
689.3401,86.3837,0.063568
691.2690,85.7415,0.066809
693.1980,85.6013,0.067520
695.1269,85.0979,0.070081
697.0558,84.7285,0.071970
698.9848,84.6647,0.072298
700.9137,84.5381,0.072947
702.8426,85.0468,0.070342
704.7716,86.2200,0.064392
706.7005,86.3797,0.063588
708.6294,86.8257,0.061352
710.5584,87.6631,0.057183
712.4873,88.3526,0.053781
714.4162,88.6163,0.052486
716.3452,88.9674,0.050769
718.2741,88.6669,0.052239
720.2030,89.1759,0.049753
722.1320,89.1173,0.050038
724.0609,88.6963,0.052094
725.9898,88.5991,0.052571
727.9188,88.8468,0.051358
729.8477,88.5975,0.052578
731.7766,88.9010,0.051093
733.7056,88.5702,0.052712
735.6345,88.4599,0.053254
737.5634,88.5446,0.052838
739.4924,88.6933,0.052109
741.4213,88.6679,0.052234
743.3503,88.6205,0.052466
745.2792,89.0966,0.050139
747.2081,88.9050,0.051074
749.1371,88.5238,0.052940
751.0660,89.1086,0.050080
752.9949,88.9837,0.050689
754.9239,88.6889,0.052131
756.8528,88.6701,0.052223
758.7817,88.4812,0.053149
760.7107,88.7584,0.051790
762.6396,87.9509,0.055760
764.5685,87.4677,0.058153
766.4975,86.2741,0.064120
768.4264,85.4908,0.068081
770.3553,84.0010,0.075715
772.2843,82.4098,0.084021
774.2132,80.8961,0.092072
776.1421,79.7138,0.098467
778.0711,78.7867,0.103547
780.0000,79.2756,0.100861
781.9289,79.8609,0.097666
783.8579,80.5368,0.094006
785.7868,80.9385,0.091845
787.7157,80.8263,0.092447
789.6447,80.0356,0.096717
791.5736,78.9648,0.102567
793.5025,78.3707,0.105846
795.4315,77.7942,0.109053
797.3604,78.2774,0.106364
799.2893,79.5454,0.099385
801.2183,81.4178,0.089281
803.1472,83.2845,0.079436
805.0761,84.5198,0.073042
807.0051,86.5383,0.062792
808.9340,87.5508,0.057740
810.8629,88.1051,0.054999
812.7919,88.6265,0.052436
814.7208,88.6508,0.052317
816.6497,89.4333,0.048501
818.5787,89.6120,0.047634
820.5076,89.4264,0.048534
822.4365,89.7850,0.046796
824.3655,89.5672,0.047851
826.2944,90.1177,0.045190
828.2233,89.6550,0.047425
830.1523,89.5585,0.047893
832.0812,89.8350,0.046555
834.0102,89.7780,0.046830
835.9391,89.7788,0.046826
837.8680,90.0474,0.045529
839.7970,89.5101,0.048128
