wavenumber_cm-1,transmittance_percent,absorbance
400.0000,81.5403,0.088628
401.9289,80.8460,0.092342
403.8579,79.8218,0.097878
405.7868,79.1859,0.101352
407.7157,78.6933,0.104062
409.6447,77.7698,0.109189
411.5736,76.8504,0.114354
413.5025,75.8529,0.120028
415.4315,74.7832,0.126196
417.3604,74.2613,0.129237
419.2893,73.0636,0.136299
421.2183,72.8731,0.137433
423.1472,71.8772,0.143409
425.0761,70.9733,0.148905
427.0051,70.4412,0.152173
428.9340,69.8721,0.155696
430.8629,69.1123,0.160444
432.7919,69.0582,0.160785
434.7208,68.7232,0.162897
436.6497,68.5897,0.163741
438.5787,68.2765,0.165729
440.5076,68.1013,0.166845
442.4365,67.6099,0.169990
444.3655,67.4473,0.171035
446.2944,67.2478,0.172322
448.2233,67.2928,0.172032
450.1523,66.7842,0.175327
452.0812,66.6184,0.176406
454.0102,66.5641,0.176760
455.9391,66.2615,0.178739
457.8680,66.2253,0.178976
459.7970,65.4951,0.183791
461.7259,65.6110,0.183023
463.6548,65.6207,0.182959
465.5838,65.4993,0.183763
467.5127,65.5072,0.183711
469.4416,65.9348,0.180885
471.3706,66.3336,0.178266
473.2995,66.7080,0.175822
475.2284,67.2386,0.172381
477.1574,67.9663,0.167707
479.0863,68.7403,0.162789
481.0152,69.4999,0.158016
482.9442,70.2023,0.153649
484.8731,70.9924,0.148788
486.8020,71.8508,0.143568
488.7310,72.0766,0.142205
490.6599,73.0134,0.136598
492.5888,73.5553,0.133386
494.5178,73.7207,0.132411
496.4467,73.9002,0.131354
498.3756,74.2573,0.129261
500.3046,73.9116,0.131287
502.2335,73.7390,0.132303
504.1624,73.8265,0.131788
506.0914,72.9910,0.136731
508.0203,73.0391,0.136444
509.9492,72.3668,0.140461
511.8782,71.9041,0.143246
513.8071,71.8002,0.143874
515.7360,71.2139,0.147435
517.6650,71.5691,0.145274
519.5939,71.0802,0.148251
521.5228,70.8153,0.149873
523.4518,71.1092,0.148075
525.3807,71.3383,0.146677
527.3096,71.7046,0.144453
529.2386,71.9080,0.143222
531.1675,72.3379,0.140634
533.0964,72.9584,0.136925
535.0254,73.4177,0.134199
536.9543,74.2841,0.129104
538.8832,74.9675,0.125127
540.8122,75.4931,0.122093
542.7411,76.2714,0.117638
544.6700,76.8480,0.114367
546.5990,77.5874,0.110209
548.5279,78.7891,0.103534
550.4569,79.2295,0.101113
552.3858,80.3050,0.095257
554.3147,80.5078,0.094162
556.2437,81.3133,0.089839
558.1726,81.9628,0.086383
560.1015,82.3395,0.084392
562.0305,83.0716,0.080548
563.9594,83.6151,0.077715
565.8883,84.0194,0.075621
567.8173,84.5447,0.072913
569.7462,84.7166,0.072032
571.6751,85.4013,0.068536
573.6041,85.4464,0.068306
575.5330,86.0480,0.065259
577.4619,85.8997,0.066009
579.3909,86.0955,0.065020
581.3198,86.3857,0.063558
583.2487,86.7446,0.061757
585.1777,86.9037,0.060961
587.1066,86.6371,0.062296
589.0355,86.6522,0.062221
590.9645,86.5873,0.062546
592.8934,86.2744,0.064118
594.8223,86.2093,0.064446
596.7513,85.6899,0.067070
598.6802,85.3977,0.068554
600.6091,84.9718,0.070725
602.5381,84.7309,0.071958
604.4670,84.6745,0.072247
606.3959,84.0818,0.075298
608.3249,83.8450,0.076523
610.2538,83.7618,0.076954
612.1827,83.4796,0.078420
614.1117,83.3344,0.079176
616.0406,83.1542,0.080116
617.9695,83.8497,0.076499
619.8985,83.8894,0.076293
621.8274,84.1853,0.074764
623.7563,84.8712,0.071240
625.6853,84.8384,0.071407
627.6142,85.5430,0.067816
629.5431,85.7866,0.066581
631.4721,86.6085,0.062439
633.4010,87.0950,0.060007
635.3299,87.2496,0.059237
637.2589,87.5819,0.057586
639.1878,87.9290,0.055868
641.1168,88.2801,0.054137
643.0457,88.4371,0.053365
644.9746,88.8727,0.051232
646.9036,89.2957,0.049169
648.8325,88.5754,0.052687
650.7614,89.2103,0.049585
652.6904,89.1750,0.049757
654.6193,89.4129,0.048600
656.5482,89.1746,0.049759
658.4772,89.3744,0.048787
660.4061,89.6372,0.047512
662.3350,89.4534,0.048403
664.2640,89.2938,0.049179
666.1929,89.3355,0.048976
668.1218,89.5214,0.048073
670.0508,89.7065,0.047176
671.9797,89.3468,0.048921
673.9086,89.1438,0.049909
675.8376,88.8905,0.051145
677.7665,88.9641,0.050785
679.6954,88.4958,0.053077
681.6244,88.3690,0.053700
683.5533,87.8505,0.056256
685.4822,87.3056,0.058958
687.4112,87.2638,0.059166
689.3401,86.5520,0.062723
691.2690,86.4764,0.063102
