wavenumber_cm-1,transmittance_percent,absorbance
400.0000,81.0607,0.091190
401.9289,79.8678,0.097628
403.8579,79.1505,0.101546
405.7868,78.5862,0.104654
407.7157,77.7477,0.109312
409.6447,77.0043,0.113485
411.5736,76.2878,0.117545
413.5025,75.2803,0.123318
415.4315,74.6057,0.127228
417.3604,73.8102,0.131884
419.2893,73.0691,0.136266
421.2183,72.3873,0.140338
423.1472,71.9575,0.142924
425.0761,71.3479,0.146619
427.0051,71.3570,0.146563
428.9340,70.6856,0.150669
430.8629,70.5905,0.151254
432.7919,69.8630,0.155753
434.7208,70.0000,0.154902
436.6497,69.6944,0.156802
438.5787,69.7045,0.156739
440.5076,69.2779,0.159406
442.4365,69.2092,0.159836
444.3655,69.1100,0.160459
446.2944,69.1357,0.160298
448.2233,68.7775,0.162554
450.1523,68.5375,0.164072
452.0812,68.0698,0.167046
454.0102,67.7431,0.169135
455.9391,67.1597,0.172891
457.8680,66.6552,0.176166
459.7970,66.2782,0.178630
461.7259,66.0165,0.180348
463.6548,65.6774,0.182584
465.5838,65.3466,0.184777
467.5127,65.1687,0.185961
469.4416,64.8611,0.188016
471.3706,64.9444,0.187458
473.2995,65.0077,0.187035
475.2284,65.5526,0.183410
477.1574,65.8351,0.181543
479.0863,66.0254,0.180289
481.0152,66.9632,0.174164
482.9442,67.4473,0.171035
484.8731,68.0053,0.167457
486.8020,68.9725,0.161324
488.7310,69.5759,0.157541
490.6599,70.1497,0.153974
492.5888,70.8036,0.149945
494.5178,71.1216,0.147998
496.4467,71.0191,0.148625
498.3756,71.4778,0.145829
500.3046,71.8280,0.143706
502.2335,71.5382,0.145462
504.1624,71.4508,0.145993
506.0914,71.1807,0.147638
508.0203,70.7165,0.150479
509.9492,70.4076,0.152381
511.8782,70.3521,0.152723
513.8071,69.8774,0.155663
515.7360,69.6796,0.156894
517.6650,69.0555,0.160802
519.5939,69.0188,0.161033
521.5228,69.0973,0.160539
523.4518,69.1809,0.160014
525.3807,69.4242,0.158489
527.3096,69.7269,0.156599
529.2386,70.2217,0.153529
531.1675,71.0475,0.148451
533.0964,71.4122,0.146228
535.0254,72.3284,0.140691
536.9543,73.0745,0.136234
538.8832,73.7704,0.132118
540.8122,74.7546,0.126362
542.7411,75.8968,0.119776
544.6700,76.7547,0.114895
546.5990,77.2372,0.112174
548.5279,78.2401,0.106571
550.4569,79.2249,0.101138
552.3858,79.8106,0.097939
554.3147,80.7643,0.092780
556.2437,81.4780,0.088960
558.1726,82.2025,0.085115
560.1015,82.7230,0.082374
562.0305,83.5646,0.077977
563.9594,84.1026,0.075191
565.8883,84.3353,0.073990
567.8173,84.5473,0.072900
569.7462,85.5794,0.067631
571.6751,85.6431,0.067307
573.6041,85.6210,0.067420
575.5330,86.2938,0.064021
577.4619,86.5428,0.062769
579.3909,86.6131,0.062416
581.3198,87.0058,0.060452
583.2487,86.7404,0.061778
585.1777,87.0274,0.060344
587.1066,86.8968,0.060996
589.0355,86.9628,0.060666
590.9645,86.4596,0.063187
592.8934,86.2658,0.064161
594.8223,86.0391,0.065304
596.7513,85.9039,0.065987
598.6802,85.8295,0.066364
600.6091,85.2780,0.069163
602.5381,84.9831,0.070668
604.4670,84.7058,0.072087
606.3959,84.3747,0.073788
608.3249,84.0112,0.075663
610.2538,84.0356,0.075537
612.1827,84.0015,0.075713
614.1117,84.2737,0.074308
616.0406,84.4209,0.073550
617.9695,85.0772,0.070187
619.8985,85.1447,0.069842
621.8274,85.4648,0.068213
623.7563,85.8074,0.066475
625.6853,86.5793,0.062586
627.6142,86.9809,0.060576
629.5431,87.1429,0.059768
631.4721,87.6220,0.057387
633.4010,88.2227,0.054420
635.3299,88.2506,0.054282
637.2589,88.8321,0.051430
639.1878,88.8240,0.051470
641.1168,88.9959,0.050630
643.0457,89.3905,0.048708
644.9746,89.1654,0.049804
646.9036,89.0767,0.050236
648.8325,89.2854,0.049220
650.7614,89.6204,0.047593
652.6904,89.3265,0.049020
654.6193,89.3967,0.048678
656.5482,89.7485,0.046973
658.4772,89.5432,0.047967
660.4061,89.3264,0.049020
662.3350,89.9543,0.045978
664.2640,89.3530,0.048891
666.1929,89.3223,0.049040
668.1218,89.5921,0.047730
670.0508,89.4789,0.048279
671.9797,89.4657,0.048343
673.9086,89.4737,0.048305
675.8376,88.8991,0.051103
677.7665,88.8891,0.051151
679.6954,89.1793,0.049736
681.6244,88.2952,0.054063
683.5533,88.0623,0.055210
685.4822,88.0425,0.055308
687.4112,87.3873,0.058552
689.3401,86.8672,0.061144
691.2690,86.6456,0.062253
693.1980,86.5553,0.062706
695.1269,86.1053,0.064970
697.0558,86.8144,0.061408
698.9848,87.1378,0.059794
700.9137,87.7228,0.056888
702.8426,87.8235,0.056389
704.7716,88.3060,0.054010
706.7005,88.8858,0.051168
708.6294,88.6298,0.052420
710.5584,88.3957,0.053569
712.4873,89.1602,0.049829
714.4162,88.9852,0.050682
716.3452,89.0619,0.050308
718.2741,88.7186,0.051985
720.2030,88.5494,0.052814
722.1320,88.5880,0.052625
724.0609,88.2407,0.054331
725.9898,87.6842,0.057078
727.9188,87.6607,0.057195
729.8477,86.9078,0.060941
731.7766,86.9844,0.060558
733.7056,86.6828,0.062067
735.6345,86.3372,0.063802
737.5634,86.3247,0.063865
739.4924,86.2090,0.064447
741.4213,87.0146,0.060408
743.3503,87.1515,0.059725
745.2792,87.0743,0.060110
747.2081,87.8205,0.056404
749.1371,88.2819,0.054128
751.0660,88.3268,0.053908
752.9949,88.8983,0.051106
