wavenumber_cm-1,transmittance_percent,absorbance
400.0000,81.3592,0.089594
401.9289,80.7043,0.093103
403.8579,79.9835,0.097000
405.7868,79.0499,0.102099
407.7157,77.9570,0.108145
409.6447,77.4855,0.110779
411.5736,76.4310,0.116730
413.5025,75.2923,0.123249
415.4315,74.9684,0.125122
417.3604,73.9159,0.131262
419.2893,73.5796,0.133243
421.2183,72.3584,0.140511
423.1472,71.9286,0.143098
425.0761,70.8999,0.149354
427.0051,70.5799,0.151319
428.9340,70.2050,0.153632
430.8629,69.6397,0.157143
432.7919,69.4185,0.158525
434.7208,69.0869,0.160604
436.6497,69.0016,0.161141
438.5787,68.9398,0.161530
440.5076,68.8035,0.162390
442.4365,68.6896,0.163109
444.3655,68.4022,0.164930
446.2944,68.4894,0.164377
448.2233,67.9651,0.167714
450.1523,67.9000,0.168130
452.0812,67.7245,0.169254
454.0102,67.0213,0.173787
455.9391,66.7538,0.175524
457.8680,66.6980,0.175887
459.7970,66.1379,0.179550
461.7259,65.7864,0.181864
463.6548,65.6752,0.182599
465.5838,65.6635,0.182676
467.5127,65.5954,0.183126
469.4416,65.4990,0.183765
471.3706,65.4923,0.183810
473.2995,65.7038,0.182409
475.2284,66.2917,0.178541
477.1574,66.9029,0.174555
479.0863,67.6742,0.169577
481.0152,68.0120,0.167414
482.9442,68.9056,0.161745
484.8731,69.5075,0.157968
486.8020,70.2108,0.153596
488.7310,70.9479,0.149060
490.6599,71.6846,0.144574
492.5888,72.1761,0.141607
494.5178,72.5803,0.139181
496.4467,73.1201,0.135963
498.3756,73.0272,0.136515
500.3046,72.9653,0.136884
502.2335,73.1178,0.135977
504.1624,72.9345,0.137067
506.0914,72.8655,0.137478
508.0203,72.1517,0.141753
509.9492,72.2241,0.141318
511.8782,71.2616,0.147144
513.8071,70.7233,0.150437
515.7360,70.5752,0.151348
517.6650,69.7250,0.156611
519.5939,69.4407,0.158386
521.5228,69.3170,0.159160
523.4518,68.8619,0.162021
525.3807,68.9818,0.161265
527.3096,69.2575,0.159533
529.2386,69.5482,0.157714
531.1675,69.9276,0.155351
533.0964,69.7878,0.156221
535.0254,70.8961,0.149378
536.9543,71.3243,0.146763
538.8832,72.0175,0.142562
540.8122,72.7525,0.138152
542.7411,73.6897,0.132593
544.6700,74.2910,0.129064
546.5990,75.7255,0.120758
548.5279,76.1231,0.118484
550.4569,77.1884,0.112448
552.3858,78.3116,0.106174
554.3147,78.9698,0.102539
556.2437,79.5767,0.099214
558.1726,80.4861,0.094279
560.1015,81.1609,0.090653
562.0305,81.5928,0.088348
563.9594,82.5257,0.083411
565.8883,82.7490,0.082237
567.8173,83.7204,0.077169
569.7462,84.2308,0.074529
571.6751,84.2936,0.074205
573.6041,84.5941,0.072660
575.5330,85.1728,0.069699
577.4619,85.1370,0.069882
579.3909,85.3114,0.068993
