land_use,depth_cm,wavenumber_cm-1,transmittance_percent,absorbance,band_group,assignment
Paddy field,15-30,469.44,61.36,0.2121,silicate,Si-O-Si bending of quartz and phyllosilicates
Paddy field,15-30,525.38,62.83,0.2019,clay_bend,Si-O-Al bending of octahedral sheet
Paddy field,15-30,612.18,79.05,0.1021,feox,Fe-O and Si-O-Al bending
Paddy field,15-30,693.20,85.06,0.0703,quartz,Quartz / Si-O-Al vibration
Paddy field,15-30,737.56,86.87,0.0611,aromatic_oop,Aromatic C-H out-of-plane deformation
Paddy field,15-30,781.93,80.59,0.0937,quartz,"Quartz doublet, Si-O symmetric stretch"
Paddy field,15-30,795.43,80.17,0.0960,quartz,"Quartz doublet, Si-O symmetric stretch"
Paddy field,15-30,913.10,80.82,0.0925,clay_bend,Al-Al-OH deformation of dioctahedral clays
Paddy field,15-30,1034.62,32.95,0.4822,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Paddy field,15-30,1262.23,86.45,0.0633,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Paddy field,15-30,1451.27,86.65,0.0622,ch_bend,C-H deformation of CH2 / CH3; lignin methoxyl
Paddy field,15-30,1512.99,89.03,0.0504,aromatic_amide,Aromatic skeletal C=C of lignin
Paddy field,15-30,1565.08,87.97,0.0556,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Paddy field,15-30,1648.02,83.48,0.0784,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Paddy field,15-30,1713.60,86.15,0.0647,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Paddy field,15-30,2172.69,94.04,0.0267,silica_ot,Quartz / silicate overtone-combination band
Paddy field,15-30,2510.25,94.21,0.0259,carbonate,Carbonate combination band (calcite)
Paddy field,15-30,2853.60,92.28,0.0349,aliphatic,Symmetric C-H stretch of aliphatic CH2
Paddy field,15-30,2926.90,90.12,0.0452,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Paddy field,15-30,3399.49,75.08,0.1245,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Paddy field,15-30,3619.39,83.80,0.0768,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Paddy field,15-30,3696.55,89.01,0.0506,clay_oh,Kaolinite inner-surface O-H stretch
