land_use,depth_cm,wavenumber_cm-1,transmittance_percent,absorbance,band_group,assignment
Vegetable field,15-30,461.73,62.81,0.2020,silicate,Si-O-Si bending of quartz and phyllosilicates
Vegetable field,15-30,517.66,69.56,0.1576,clay_bend,Si-O-Al bending of octahedral sheet
Vegetable field,15-30,610.25,82.67,0.0827,feox,Fe-O and Si-O-Al bending
Vegetable field,15-30,697.06,85.95,0.0658,quartz,Quartz / Si-O-Al vibration
Vegetable field,15-30,776.14,81.06,0.0912,quartz,"Quartz doublet, Si-O symmetric stretch"
Vegetable field,15-30,797.36,80.30,0.0953,quartz,"Quartz doublet, Si-O symmetric stretch"
Vegetable field,15-30,915.03,81.33,0.0897,clay_bend,Al-Al-OH deformation of dioctahedral clays
Vegetable field,15-30,1024.97,34.24,0.4655,silicate,Si-O stretch of clay minerals; C-O of polysaccharides
Vegetable field,15-30,1262.23,88.95,0.0508,phenolic_co,"C-O stretch and O-H deformation of phenols, aryl ethers"
Vegetable field,15-30,1381.83,84.09,0.0752,nitrate,Nitrate v3; C-H bending of CH3
Vegetable field,15-30,1565.08,91.00,0.0410,aromatic_amide,Amide II N-H bend / C-N stretch; COO- asymmetric stretch
Vegetable field,15-30,1648.02,88.20,0.0545,aromatic_amide,"Aromatic C=C, amide I C=O and H-O-H bending"
Vegetable field,15-30,1721.32,89.59,0.0477,carboxyl,"C=O stretch of carboxylic acids, ketones and aldehydes"
Vegetable field,15-30,2161.12,94.19,0.0260,silica_ot,Quartz / silicate overtone-combination band
Vegetable field,15-30,2521.83,93.37,0.0298,carbonate,Carbonate combination band (calcite)
Vegetable field,15-30,2859.39,93.52,0.0291,aliphatic,Symmetric C-H stretch of aliphatic CH2
Vegetable field,15-30,2924.97,91.87,0.0368,aliphatic,Asymmetric C-H stretch of aliphatic CH2
Vegetable field,15-30,3397.56,78.48,0.1052,water_oh,"Broad O-H stretch: sorbed water, phenolic and alcoholic OH"
Vegetable field,15-30,3621.32,84.48,0.0732,clay_oh,Al-Al-OH stretch of 1:1 / 2:1 clays
Vegetable field,15-30,3694.62,89.84,0.0465,clay_oh,Kaolinite inner-surface O-H stretch
